batch,due_date,name,url,strict,extra
1,01/19/18,Convert a Number to a String!,https://www.codewars.com/kata/convert-a-number-to-a-string,,false
1,01/19/18,Convert a String to a Number!,https://www.codewars.com/kata/convert-a-string-to-a-number,,false
1,01/19/18,Find the volume of a Cone.,https://www.codewars.com/kata/find-the-volume-of-a-cone,,false
1,01/19/18,Grasshopper - Messi Goals,https://www.codewars.com/kata/grasshopper-messi-goals,,false
1,01/19/18,Grasshopper - Shopping list,https://www.codewars.com/kata/grasshopper-shopping-list,,false
1,01/19/18,Keep Hydrated!,https://www.codewars.com/kata/keep-hydrated-1,,false
1,01/19/18,Opposite number,https://www.codewars.com/kata/opposite-number,,false
1,01/19/18,Volume of a Cuboid,https://www.codewars.com/kata/volume-of-a-cuboid,,false
2,02/02/18,Century From Year,https://www.codewars.com/kata/century-from-year,,false
2,02/02/18,Convert boolean values to strings 'Yes' or 'No'.,https://www.codewars.com/kata/convert-boolean-values-to-strings-yes-or-no,,false
2,02/02/18,Even or Odd,https://www.codewars.com/kata/even-or-odd,,false
2,02/02/18,Fake Binary,https://www.codewars.com/kata/fake-binary,,false
2,02/02/18,Isograms,https://www.codewars.com/kata/isograms,,true
2,02/02/18,Keep up the hoop,https://www.codewars.com/kata/keep-up-the-hoop,,false
2,02/02/18,Return Negative,https://www.codewars.com/kata/return-negative,,false
2,02/02/18,Rock Paper Scissors!,https://www.codewars.com/kata/rock-paper-scissors,,false
2,02/02/18,SevenAte9,https://www.codewars.com/kata/sevenate9,,false
2,02/02/18,Sum of all the multiples of 3 or 5,https://www.codewars.com/kata/sum-of-all-the-multiples-of-3-or-5,,false
3,02/21/18,Needle in the Haystack,https://www.codewars.com/kata/a-needle-in-the-haystack,,
3,02/21/18,Build tower,https://www.codewars.com/kata/build-tower,,
3,02/21/18,Count of pos minus neg,https://www.codewars.com/kata/count-of-positives-slash-sum-of-negatives,,
3,02/21/18,Counting sheep,https://www.codewars.com/kata/counting-sheep-dot-dot-dot,,
3,02/21/18,Double char,https://www.codewars.com/kata/double-char,,
3,02/21/18,Grasshopper,https://www.codewars.com/kata/grasshopper-summation,,
3,02/21/18,Multiples of 3 and 5,https://www.codewars.com/kata/multiples-of-3-or-5,,
3,02/21/18,Square n sum,https://www.codewars.com/kata/square-n-sum,,
