Batch,Exercise,Completed,DateCompleted,CompletedLate
1,Convert a Number to a String!,True,2018-01-15T04:07:39Z,False
1,Convert a String to a Number!,True,2018-01-15T04:05:56Z,False
1,Find the volume of a Cone.,True,2018-01-15T15:50:50Z,False
1,Grasshopper - Messi Goals,True,2018-01-15T03:57:31Z,False
1,Grasshopper - Shopping list,True,2018-01-15T04:03:19Z,False
1,Keep Hydrated!,True,2018-01-15T15:41:52Z,False
1,Opposite number,True,2018-01-15T20:22:37Z,False
1,Volume of a Cuboid,True,2018-01-15T15:45:36Z,False
2,Century From Year,True,2018-01-24T03:30:22Z,False
2,Convert boolean values to strings 'Yes' or 'No'.,True,2018-01-24T02:58:27Z,False
2,Even or Odd,True,2018-01-19T20:27:15Z,False
2,Fake Binary,True,2018-01-19T21:31:17Z,False
2,Isograms,True,2018-01-24T07:19:32Z,False
2,Keep up the hoop,True,2018-01-24T03:08:36Z,False
2,Return Negative,True,2018-01-24T03:34:08Z,False
2,Rock Paper Scissors!,True,2018-01-24T03:05:20Z,False
2,SevenAte9,True,2018-01-29T01:47:38Z,False
2,Sum of all the multiples of 3 or 5,True,2018-01-24T03:12:47Z,False
3,Needle in the Haystack,True,2018-02-20T14:22:19Z,False
3,Build tower,True,2018-02-21T14:30:11Z,False
3,Count of pos minus neg,True,2018-02-20T06:27:00Z,False
3,Counting sheep,True,2018-02-20T06:33:45Z,False
3,Double char,True,2018-02-20T14:28:22Z,False
3,Grasshopper,True,2018-02-20T14:12:06Z,False
3,Multiples of 3 and 5,True,2018-02-20T14:33:44Z,False
3,Square n sum,True,2018-02-20T06:50:05Z,False
